BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,9600,2012 62 reg,Hatchback,47000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,9650,2012 12 reg,Hatchback,39000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSport5dr,9690,2012 12 reg,Hatchback,59050 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,9695,2012 62 reg,Hatchback,60000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116DSE5DR20,9699,2012 62 reg,Hatchback,47258 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES118dSE5drAIRCONAUXIN20,9700,2012 61 reg,Hatchback,53692 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES116dSport3drAIRCONAUXIN20,9700,2013 13 reg,Hatchback,52341 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116DES5d114BHP,9710,2012 12 reg,Hatchback,56544 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dSE5dr20,9730,2012 12 reg,Hatchback,55026 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dSport5dr,9797,2012 62 reg,Hatchback,40500 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116DEFFICIENTDYNAMICS5DOORSPARKINGSENSORSCRUISECONTROLAIRCONALLOYSFREETAX16,9799,2012 12 reg,Hatchback,46152 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSport5dr,9800,2012 62 reg,Hatchback,45000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drAIRCONAUXIN16,9800,2013 13 reg,Hatchback,49563 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dSport5drAIRCONAUXIN20,9800,2012 12 reg,Hatchback,58738 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dSE5drAIRCONAUXIN20,9800,2012 12 reg,Hatchback,36675 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5dr16,9848,2012 12 reg,Hatchback,52170 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSportHatchback5drDieselManual117gkm116bhp,9880,2012 62 reg,Hatchback,56000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dESSportsHatch5dr,9895,2012 12 reg,Hatchback,53000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dESSportsHatch5dr,9945,2013 13 reg,Hatchback,48000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dSESportsHatch3dr,9950,2013 13 reg,Hatchback,52929 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,9970,2013 62 reg,Hatchback,48995 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSE5dr,9980,2012 62 reg,Hatchback,33000 miles,Automatic,20L,116 bhp,Diesel
BMW1SERIES20116dSport5dr,9990,2012 62 reg,Hatchback,47000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20118dSport2dr,9990,2012 12 reg,Coupe,60000 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5drstartstop,9990,2013 62 reg,Hatchback,45800 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSE5dr,9990,2012 12 reg,Hatchback,31000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES16116DEFFICIENTDYNAMICS5d114BHPRACAPPROVEDDEALER,9995,2012 12 reg,Hatchback,49000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20120dMSport2dr,9995,2012 62 reg,Coupe,47500 miles,Manual,20L,177 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,9995,2012 62 reg,Hatchback,52000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20118dMSport2dr,9995,2012 12 reg,Convertible,31000 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES20118dSportSportsHatch3drstartstop,9995,2014 63 reg,Hatchback,12000 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES20116dSport5dr,9995,2012 12 reg,Hatchback,57121 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dSE5dr,9995,2012 62 reg,Hatchback,52287 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES118DSPORT5dr20,9995,2012 12 reg,Hatchback,55000 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES16116dEfficientDynamics5dr,9995,2013 13 reg,Hatchback,59700 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSportSportsHatch3drstartstop,9995,2013 63 reg,Hatchback,54850 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dSport5dr,9995,2012 12 reg,Hatchback,55000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20120dSE5dr,9995,2012 61 reg,Hatchback,58000 miles,Manual,20L,177 bhp,Diesel
BMW1SERIES116dES203dr,9998,2012 62 reg,Hatchback,56052 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,10000,2012 12 reg,Hatchback,56471 miles,Manual,16L,116 bhp,Diesel
BMW116D20ES,10000,2012 12 reg,Hatchback,18840 miles,Manual,20L,Diesel
BMW1SERIES20116dSE5dr,10000,2012 12 reg,Hatchback,45666 miles,Manual,20L,116 bhp,Diesel
BMW116D16EFFICIENTDYNAMICS5dr,10000,2012 62 reg,Hatchback,53265 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES16116DEFFICIENTDYNAMICS5d114BHPPLEASECALLTORESERVETODAY,10000,2012 62 reg,Hatchback,48000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5dr16,10000,2012 12 reg,Hatchback,58053 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drAIRCONAUXIN16,10000,2013 13 reg,Hatchback,58511 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dSE5dr20,10000,2012 12 reg,Hatchback,51227 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES114d16ES3dr,10000,2013 13 reg,Hatchback,33700 miles,Manual,16L,95 bhp,Diesel
BMW1SERIES120dSE5drBUSINESSADVANCEDSATNAV20,10000,2012 12 reg,Hatchback,47095 miles,Manual,20L,184 bhp,Diesel
BMW1SERIES120dSE5drAIRCONAUXIN20,10000,2012 12 reg,Hatchback,58943 miles,Manual,20L,177 bhp,Diesel
BMW1SERIES116dSE3drAIRCONAUXIN20,10000,2012 62 reg,Hatchback,40011 miles,Manual,20L,116 bhp,Diesel
BMW116D16EFFICIENTDYNAMICS5dr,10000,2013 13 reg,Hatchback,52627 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drAIRCONAUXIN16,10000,2012 62 reg,Hatchback,41316 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116dSport5dr,10000,2012 12 reg,Hatchback,48500 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drZeroRFL16,10000,2012 12 reg,Hatchback,52100 miles,Manual,16L,116 bhp,Diesel
BMW116D16EFFICIENTDYNAMICS5dr,10000,2013 13 reg,Hatchback,53859 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drAIRCONAUXIN16,10000,2013 13 reg,Hatchback,36316 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drCRUISECONTROL16,10000,2012 12 reg,Hatchback,35461 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics3drAIRCONAUXIN16,10000,2013 13 reg,Hatchback,40322 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES118dExclusiveEdition2drFULLLEATHER20,10000,2012 62 reg,Coupe,50384 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES116DEFFICIENTDYNAMICS5DOORSAIRCONALLOYSTAX016,10000,2012 62 reg,Hatchback,52312 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20118dSport2dr,10000,2012 12 reg,Coupe,53313 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5dr,10000,2012 62 reg,Hatchback,58000 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20TD116dSE5dr,10000,2012 12 reg,Hatchback,50000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5dr16,10121,2012 62 reg,Hatchback,47443 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES16114dSESportsHatch5drstartstop,10150,2015 15 reg,Hatchback,41043 miles,Manual,16L,95 bhp,Diesel
BMW1SERIES116dES5dr20,10182,2012 12 reg,Hatchback,41008 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5drAIRCONAUXIN16,10200,2013 63 reg,Hatchback,31602 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES118dSport3drAIRCONDABTUNER20,10200,2013 13 reg,Hatchback,48340 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES20118dMSport2dr,10250,2012 62 reg,Coupe,27500 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES20118dSport5dr,10250,2012 62 reg,Hatchback,59000 miles,Manual,20L,143 bhp,Diesel
BMW1SERIES20116DSPORT5d114BHP,10290,2012 12 reg,Hatchback,48600 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20116dSESportsHatch5drstartstop,10290,2014 64 reg,Hatchback,15000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES16116dEfficientDynamicsSportsHatch5drstartstop,10295,2013 63 reg,Hatchback,28600 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5dr16,10298,2013 13 reg,Hatchback,58082 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES116dSport205dr,10298,2012 62 reg,Hatchback,48000 miles,Manual,20L,116 bhp,Diesel
BMW116D20Sport3dr,10299,2013 13 reg,Hatchback,54726 miles,Manual,20L,116 bhp,Diesel
BMW118D20SE5dr,10299,2013 13 reg,Hatchback,56939 miles,Manual,20L,143 bhp,Diesel
BMW116D20SE5dr,10299,2013 62 reg,Hatchback,45716 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES116dEfficientDynamics5dr16,10346,2012 12 reg,Hatchback,35109 miles,Manual,16L,116 bhp,Diesel
BMW1SERIES20116DSE5d114BHP,10350,2012 12 reg,Hatchback,34000 miles,Manual,20L,116 bhp,Diesel
BMW1SERIES20118dExclusive2dr,10400,2012 12 reg,Convertible,52000 miles,Manual,20L,143 bhp,Diesel
